Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,1000,0,0,0,1
11,1000,1,0,0,0
12,1000,1,0,0,0
13,1000,1,1,0,0
14,1000,2,1,0,0
15,1000,6,1,0,0
16,1000,9,1,0,1
17,1000,18,3,0,0
18,1000,37,6,0,1
19,1000,76,12,0,0
20,1000,171,22,0,0
21,1000,333,44,0,1
22,1000,710,86,0,1
23,1000,1539,177,0,1
24,1000,3125,370,0,1
25,1000,6280,716,0,1
26,1000,12660,1428,1,0
27,1000,25952,2767,0,0
28,1000,57277,5963,0,1
