Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,40,0,0,0,0
11,40,0,0,0,0
12,40,0,0,0,0
13,40,1,0,0,0
14,40,2,0,0,0
15,40,4,1,0,0
16,40,8,1,0,0
17,40,19,3,0,0
18,40,39,6,0,0
19,40,87,12,0,0
20,40,171,27,0,0
21,40,387,49,0,0
22,40,719,101,0,0
23,40,1503,194,0,0
24,40,2998,397,0,0
25,40,6052,767,0,0
26,40,12453,1520,0,0
27,40,25705,3055,0,0
28,40,52995,6084,0,0
