Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,10100,0,0,0,2
1010,10100,0,0,129,319
2010,10100,0,0,290,592
3010,10100,0,0,510,904
4010,10100,0,0,843,1216
5010,10100,0,0,1318,1422
6010,10100,0,0,1661,1696
7010,10100,0,0,2179,1990
8010,10100,0,0,2782,2256
9010,10100,0,0,3511,2560
