Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,500000,1,0,41,133
11,500000,0,0,50,166
12,500000,1,0,57,169
13,500000,2,0,55,174
14,500000,2,1,61,191
15,500000,6,1,63,206
16,500000,9,1,70,236
17,500000,21,3,72,241
18,500000,40,5,76,251
19,500000,85,12,87,264
20,500000,174,22,89,279
21,500000,359,44,86,298
22,500000,731,91,98,325
23,500000,1478,186,96,322
24,500000,3079,356,103,339
25,500000,6358,724,122,356
26,500000,12680,1418,111,359
